Message_Size	Time_per_Send	Bandwidth_GBps
1	0.0000054585	0.000171
2	0.0000006395	0.002913
4	0.0000004380	0.008505
8	0.0000004420	0.016857
16	0.0000003925	0.037965
32	0.0000004015	0.074227
64	0.0000043655	0.013654
128	0.0000117565	0.010140
256	0.0000005185	0.459824
512	0.0000026980	0.176737
1024	0.0000007595	1.255661
2048	0.0000007925	2.406749
4096	0.0000131230	0.290688
8192	0.0000044205	1.725912
16384	0.0000049890	3.058486
32768	0.0000069100	4.416437
65536	0.0000117565	5.191609
131072	0.0000196355	6.216817
262144	0.0000366265	6.665683
524288	0.0000764545	6.386560
1048576	0.0001177915	8.290602
2097152	0.0002422390	8.062802
4194304	0.0004384835	8.908545
8388608	0.0008849490	8.828192
16777216	0.0035323715	4.423374
33554432	0.0075439575	4.142388
67108864	0.0151392620	4.128339
134217728	0.0303292425	4.121435
268435456	0.0603849155	4.140107
536870912	0.1205623230	4.147233
1073741824	0.2403735245	4.160192
